tran,loudest_slot,slot0,slot2,slot4,slot6,slot8,slot10,slot12,slot14,slot16,slot18,slot20,slot22,slot24,slot26,slot28,slot30,slot32
92,2,1.57717,71.6732,30.3306,23.9871,42.9931,2.30814,22.2254,0.499535,12.486,0.572985,11.9976,0.369454,18.5506,0.2456,6.12695,0.315651,6.22843
93,26,10.1632,9.26581,15.7513,9.76341,20.0131,7.94871,7.35009,4.80799,2.76213,4.12285,4.18959,1.0628,4.0967,324.055,1.6745,2.3783,0.925397
94,26,5.95187,23.9539,9.7858,14.0884,7.04912,3.84601,3.85713,2.89048,1.85837,2.25573,2.58376,4.20145,2.07193,355.823,2.38928,4.82536,1.35684
95,26,0.507002,11.2227,4.47376,21.0366,23.9809,7.40995,7.61809,5.22684,5.02313,1.60625,4.93405,2.46299,4.51749,356.938,4.32187,2.57677,1.10496
96,26,4.02186,36.4732,4.1098,7.72575,7.41798,15.5172,1.26591,6.50311,1.09922,3.51447,0.968374,3.96435,2.31623,350.804,1.67899,3.9205,0.722349
97,26,4.2262,29.0448,5.14525,4.97751,4.6741,6.60336,0.635299,6.15458,2.07813,2.78293,1.35108,4.21231,3.28963,358.738,3.2936,4.00078,0.67642
98,26,4.84516,32.8699,1.56256,19.31,13.1072,0.911289,10.8173,0.970379,8.36872,1.4645,6.68616,4.66247,6.23986,351.28,2.50046,4.54636,1.55173
99,26,10.7656,31.2007,4.42716,11.2391,5.48284,1.39416,0.575241,1.32614,0.74622,1.16152,0.940377,7.3172,1.75081,340.195,1.53351,7.25221,0.965387
100,0,34.6404,25.2344,3.41269,9.42152,7.98637,3.67786,0.97326,0.34119,0.119787,0.29791,0.945278,1.26885,0.748065,22.2219,0.463802,1.28827,0.352443
101,28,2.23874,37.9587,8.62388,16.4598,10.1201,4.34725,8.50659,1.01273,6.17612,1.16955,3.77982,0.566034,3.594,1.58174,332.825,1.58311,3.63331
102,28,2.24923,38.3934,1.5662,3.7468,0.803382,4.36557,0.786208,0.228459,0.449953,0.330795,2.52357,0.299516,2.8795,1.47391,352.97,1.45328,3.18354
103,28,5.85328,33.2795,2.08706,15.0788,5.4276,5.82427,1.85618,0.339471,1.41636,0.875372,1.77037,1.63755,14.4,1.53835,346.324,1.56437,6.97433
104,28,10.617,12.5391,4.96992,5.84878,1.53023,0.834117,1.38063,0.781742,1.70672,0.630354,0.969706,0.725423,23.2158,2.79467,343.732,2.88143,15.6931
105,28,6.9032,16.8912,2.18916,14.2934,8.09149,1.98709,6.05095,1.12566,4.91193,0.893064,1.59172,0.622946,15.4386,1.47811,372.976,1.49956,8.12439
106,28,2.21994,28.3444,7.3771,19.6557,12.7475,0.448434,6.56517,0.215459,1.62617,0.436792,0.945503,0.353936,1.88435,1.58962,374.487,1.59708,2.28472
107,28,5.50911,54.435,4.83265,16.1978,10.1239,1.81068,8.83759,1.40025,5.31418,2.62773,4.585,0.474387,3.51894,1.40913,337.005,1.37646,3.51451
