tran,loudest_slot,slot0,slot2,slot4,slot6,slot8,slot10,slot12,slot14,slot16,slot18,slot20,slot22,slot24,slot26,slot28,slot30,slot32
27,6,6.8904,9.71625,17.3897,271.885,13.9345,6.87991,3.19746,4.6491,3.22707,9.4233,1.78503,1.87841,3.77036,3.5492,7.11578,2.01339,1.64469
28,6,9.26692,9.21958,16.4923,259.145,14.5043,7.38329,2.93068,5.35499,3.05134,9.63031,3.01935,1.69459,4.97802,3.72254,8.52954,2.28558,1.25783
29,6,6.0269,8.64673,13.1528,258.724,106.209,15.7642,3.62057,9.91181,4.33378,14.1801,4.44491,11.5035,2.79804,6.59526,4.80329,4.1841,2.63382
30,6,5.07691,12.0878,19.2046,245.689,86.7362,11.2939,5.54209,9.50532,5.0025,16.8334,5.90097,4.48282,4.98115,16.8862,8.29545,3.86192,10.3266
31,6,15.6748,12.1917,22.8257,218.151,86.5339,21.2725,6.9253,23.0806,5.4056,32.2004,2.55575,6.72869,5.95578,9.38726,5.49314,7.20953,12.5313
32,8,7.89499,11.0005,11.5013,29.702,109.764,17.5047,5.43405,4.9325,4.18683,3.42097,3.05965,5.98118,3.58683,2.5444,2.79057,3.64502,17.4676
33,8,7.91835,5.0127,5.94701,9.58495,107.943,9.65704,3.88709,3.70027,3.63816,5.86448,3.86013,5.83271,6.15573,0.938815,3.35779,2.22699,8.43008
34,8,7.18797,3.50016,5.56611,8.20091,94.9793,9.92536,3.3613,2.79115,2.62342,6.19655,1.64818,6.38619,1.37707,1.27655,2.58458,2.48238,9.60092
35,8,4.44805,3.08346,6.14638,11.1766,109.96,12.941,3.36434,4.06787,8.6095,6.80471,5.32795,8.27096,2.79251,1.20798,3.05262,2.20717,6.11321
36,2,10.38,12.4315,3.50609,2.68162,9.10639,7.49704,2.41532,1.12613,1.07932,0.880975,0.727828,0.719191,0.387082,0.605081,0.377195,0.321065,0.430102
37,10,2.59483,1.6508,2.67661,5.39166,12.647,276.656,5.61895,6.86233,3.37295,2.19042,1.69876,11.9691,1.86067,22.1942,2.40187,1.5216,1.02157
38,10,4.54103,6.74774,4.26139,7.95704,13.4838,258.709,11.7382,6.69446,3.22102,2.05034,2.52972,5.23557,1.86266,12.9971,2.00388,8.15332,2.17386
39,10,8.0451,4.69153,2.23043,3.69118,7.27317,280.183,6.59485,2.61,1.73006,2.03254,0.82715,7.81417,1.07615,15.3797,1.37658,4.32124,1.06265
40,10,2.57461,4.25006,1.48253,3.34349,5.71631,303.919,5.79704,3.88806,1.38322,1.50288,0.700188,6.13053,0.576617,13.3428,0.644738,3.74249,0.754726
41,10,5.77124,4.88109,4.53424,14.0398,41.3661,274.143,82.1043,9.07201,6.16181,3.95825,5.38034,5.14135,6.10182,13.855,3.21561,11.2029,2.87806
42,12,11.104,7.92456,14.7786,26.3379,55.6327,189.833,252.525,55.7083,27.0116,13.8025,7.88543,4.47908,8.78307,9.13763,18.7399,9.89125,3.53363
43,12,3.06388,4.0597,4.28122,5.08138,8.11634,55.1328,281.201,39.7832,11.5651,5.25703,3.63565,2.37069,3.46902,5.39405,5.0119,11.7282,5.98862
44,12,5.84468,1.96269,2.36442,2.69029,6.47321,12.0992,264.531,12.0505,8.01583,4.8679,5.09474,4.1751,3.16045,7.3754,2.71318,12.3684,2.01755
45,12,4.83702,2.9863,6.49708,5.44158,11.1962,20.7921,286.087,28.7486,6.78211,3.76937,2.63444,2.07466,2.95461,6.55025,4.0489,14.6094,1.99704
46,12,2.03967,2.93873,3.56088,6.38813,9.84628,15.3755,319.687,35.3006,12.9265,6.50862,5.82508,3.16362,2.41357,9.83326,2.8728,21.3215,4.12567
47,12,1.74717,2.76071,1.30985,1.57094,2.99775,6.59681,306.169,63.157,13.2869,5.32341,2.79797,2.14998,1.48988,13.6508,1.93227,38.7608,2.49407
48,14,4.40468,4.84663,3.65687,3.23701,5.44846,5.26045,17.6632,86.0576,9.70264,5.42029,7.61006,1.90397,2.21047,5.50438,2.00199,2.77108,1.20882
